"","ID_W","ID_H","hhwgt","nfm","IDIND1","B1_4","B1_5","IDIND2","B2_4","B2_5","B2_9_1","IDIND3","B3_4","B3_5","B3_9_1","IDIND4","B4_4","B4_5","B4_9_1","IDIND5","B5_4","B5_5","B5_9_1","IDIND6","B6_4","B6_5","B6_9_1","IDIND7","B7_4","B7_5","B7_9_1","IDIND8","B8_4","B8_5","B8_9_1","IDIND9","B9_4","B9_5","B9_9_1","IDIND10","B10_4","B10_5","B10_9_1","IDIND11","B11_4","B11_5","B11_9_1","IDIND12","B12_4","B12_5","B12_9_1","IDIND13","B13_4","B13_5","B13_9_1","IDIND14","B14_4","B14_5","B14_9_1","IDIND15","B15_4","B15_5","B15_9_1","IDIND16","B16_4","B16_5","B16_9_1","IDIND17","B17_4","B17_5","B17_9_1","IDIND18","B18_4","B18_5","B18_9_1","IDIND19","B19_4","B19_5","B19_9_1","IDIND20","B20_4","B20_5","B20_9_1","IDIND21","B21_4","B21_5","B21_9_1","IDIND22","B22_4","B22_5","B22_9_1","IDIND23","B23_4","B23_5","B23_9_1","IDIND24","B24_4","B24_5","B24_9_1"
"11",20,10059,1.040902835,3,25028,2,1967,25030,1,2000,4,31344,2,1989,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",20,10060,1.040902835,3,32295,2,1952,32296,2,1977,4,32297,2,2003,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",20,10063,0.877582981,4,32298,2,1957,32299,1,1962,6,40572,2,1980,4,40573,1,2002,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",20,10068,1.040902835,3,64,2,1965,65,1,1968,1,66,NA,NA,NA,NA,NA,NA,NA,68,1,1991,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",20,10069,0.733245453,5,31361,2,1964,NA,1,1960,1,31362,1,2003,9,NA,2,1986,4,40574,1,2007,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",20,10078,1.040902835,3,11330,2,1972,11331,1,1970,1,11332,1,1996,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",20,10090,0,2,11336,2,1965,NA,NA,NA,NA,11338,NA,NA,NA,11339,NA,NA,NA,11340,1,1991,4,14377,NA,NA,NA,14378,NA,NA,NA,14379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",20,10100,1.040902835,3,30129,2,1946,31365,2,2001,9,32310,1,1968,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",20,10108,0.877582981,4,125,2,1963,126,1,1969,1,127,1,1981,4,128,NA,NA,NA,129,1,1994,4,20018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,10115,1.040902835,3,11349,2,1958,11350,1,1954,1,11351,1,1985,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
